employee_id,first_name,department,job_role,gender,age,city,experience_years,salary,performance_score,attendance_percentage,projects_completed,work_mode,education,joining_year,manager_id,bonus,satisfaction_score
E1001,Akhil,Marketing,SEO Analyst,Male,43,Chennai,12,87492,65,96.7,4,Remote,BCom,2020,M102,28967,7
E1002,Arjun,Operations,Process Analyst,Female,49,Hyderabad,5,60976,79,82.3,11,Remote,MCA,2018,M107,3267,4
E1003,Reshma,Finance,Accountant,Female,34,Bangalore,4,60086,63,75.4,2,Remote,BSc,2022,M108,14206,6
E1004,Sneha,Operations,Process Analyst,Female,26,Pune,0,32585,96,89.2,13,Remote,MCA,2025,M102,6297,9
E1005,Sneha,Marketing,SEO Analyst,Male,48,Kochi,13,84629,94,96.1,13,Hybrid,MSc,2023,M110,23243,7
E1006,Akhil,Marketing,Marketing Executive,Female,21,Hyderabad,12,90608,62,75.1,11,Remote,BTech,2023,M103,14666,8
E1007,Sneha,HR,Recruiter,Male,36,Trivandrum,6,62920,77,91.7,5,Remote,BSc,2023,M106,26538,6
E1008,Aparna,IT,ML Engineer,Male,29,Trivandrum,2,48472,69,77.8,12,Office,MBA,2022,M101,10755,8
E1009,Rohan,Marketing,Marketing Executive,Female,33,Trivandrum,13,93792,76,97.0,10,Office,BCom,2024,M105,4693,7
E1010,Rohan,Marketing,SEO Analyst,Male,48,Kochi,11,88650,93,97.7,1,Office,MBA,2024,M104,24248,6
E1011,Arjun,Operations,Operations Manager,Female,32,Trivandrum,7,62286,86,88.0,9,Office,BCom,2016,M110,19675,9
E1012,Vishnu,HR,HR Executive,Male,39,Pune,2,40009,56,88.3,10,Hybrid,BSc,2022,M108,22602,4
E1013,Fathima,Operations,Operations Executive,Male,48,Chennai,7,51809,60,92.4,3,Remote,BSc,2018,M110,3986,10
E1014,Arjun,Finance,Finance Executive,Female,28,Kochi,3,54382,65,83.5,9,Hybrid,BCom,2025,M103,18646,7
E1015,Varun,HR,Recruiter,Male,36,Pune,15,96111,66,89.0,11,Remote,BTech,2024,M103,11874,6
E1016,Devika,Marketing,Content Strategist,Male,28,Hyderabad,7,74390,92,91.7,14,Remote,BCom,2024,M103,4200,8
E1017,Rahul,HR,HR Executive,Male,24,Kochi,15,89624,58,80.9,5,Remote,MBA,2016,M101,29311,7
E1018,Neha,Finance,Financial Analyst,Male,39,Pune,2,45831,62,90.8,2,Office,BCom,2016,M101,29643,8
E1019,Varun,Finance,Financial Analyst,Male,34,Mumbai,3,53450,60,84.3,9,Office,MSc,2016,M105,18990,6
E1020,Arjun,Marketing,Content Strategist,Female,38,Kochi,0,30190,96,98.4,10,Remote,BCom,2023,M102,9455,10
E1021,Anjali,Operations,Process Analyst,Male,28,Kochi,6,57653,63,92.6,7,Office,MCA,2022,M110,7986,5
E1022,Nikhil,IT,Tester,Male,28,Pune,7,73491,70,76.3,3,Remote,BSc,2017,M102,24303,10
E1023,Diya,Operations,Process Analyst,Male,42,Chennai,2,47055,91,88.1,5,Office,BSc,2021,M104,6142,6
E1024,Diya,Marketing,SEO Analyst,Male,37,Trivandrum,15,75985,73,86.0,7,Hybrid,MSc,2025,M105,7949,10
E1025,Arjun,IT,ML Engineer,Female,50,Pune,11,79713,79,91.5,5,Office,MSc,2022,M105,17125,8
E1026,Sanjay,Finance,Accountant,Female,45,Mumbai,11,63862,68,77.3,15,Office,BCom,2019,M105,13151,5
E1027,Diya,HR,Recruiter,Male,24,Bangalore,15,104772,85,75.4,3,Hybrid,BTech,2023,M105,18364,7
E1028,Amal,HR,Recruiter,Male,48,Kochi,0,27851,87,95.3,11,Office,BSc,2018,M101,7536,5
E1029,Amal,Finance,Finance Executive,Female,22,Mumbai,11,74260,89,83.4,10,Office,MCA,2025,M110,13261,5
E1030,Nikhil,Finance,Finance Executive,Male,44,Hyderabad,8,65345,79,95.1,9,Hybrid,MSc,2024,M108,16527,6
E1031,Varun,IT,ML Engineer,Female,44,Trivandrum,2,53215,86,96.5,1,Remote,MSc,2022,M109,4914,4
E1032,Fathima,Operations,Operations Executive,Female,33,Chennai,0,39787,73,84.7,12,Office,BTech,2018,M109,4502,7
E1033,Fathima,Operations,Operations Executive,Male,23,Hyderabad,14,83386,79,88.8,5,Office,BTech,2022,M105,23545,5
E1034,Rahul,Operations,Operations Manager,Male,31,Chennai,14,84210,72,99.2,9,Hybrid,MCA,2016,M106,3542,9
E1035,Nikhil,Sales,Sales Executive,Female,40,Kochi,7,75826,61,99.7,4,Hybrid,BSc,2018,M106,28790,6
E1036,Rahul,HR,HR Executive,Male,38,Hyderabad,9,65327,74,78.0,13,Remote,BTech,2022,M101,8530,8
E1037,Varun,Marketing,Marketing Executive,Female,21,Pune,13,70266,60,95.1,13,Office,MSc,2020,M106,29860,6
E1038,Reshma,Marketing,Content Strategist,Male,37,Pune,4,60639,69,86.4,5,Hybrid,BCom,2018,M107,26504,6
E1039,Sneha,Marketing,SEO Analyst,Female,24,Bangalore,9,61870,62,83.8,2,Office,BTech,2019,M106,25486,4
E1040,Fathima,IT,Developer,Male,34,Chennai,0,42779,60,98.7,5,Remote,BTech,2017,M110,21255,9
E1041,Arjun,HR,Recruiter,Male,38,Trivandrum,10,65884,65,89.9,15,Office,BCom,2016,M101,20017,4
E1042,Fathima,Finance,Finance Executive,Female,48,Kochi,14,73780,59,100.0,6,Remote,MSc,2022,M105,5636,8
E1043,Aparna,HR,HR Executive,Female,21,Chennai,9,63694,99,90.2,14,Office,BTech,2023,M102,5419,10
E1044,Rahul,HR,HR Analyst,Female,32,Kochi,9,65914,98,89.0,14,Remote,BTech,2016,M107,13470,8
E1045,Anjali,Sales,Business Development Executive,Female,22,Bangalore,13,84782,84,88.9,3,Remote,MCA,2019,M109,22645,4
E1046,Vishnu,Marketing,Marketing Executive,Female,30,Kochi,13,82674,64,94.2,4,Office,MCA,2021,M105,7569,8
E1047,Rohan,Operations,Operations Manager,Male,45,Trivandrum,10,68435,70,78.8,6,Office,MBA,2018,M102,25161,6
E1048,Diya,Finance,Accountant,Female,41,Pune,4,60003,55,88.4,12,Hybrid,BCom,2017,M101,28329,8
E1049,Kiran,Finance,Financial Analyst,Male,36,Mumbai,8,76608,71,81.9,1,Office,MBA,2019,M108,15013,9
E1050,Anjali,HR,HR Executive,Female,34,Chennai,11,89354,61,92.2,7,Hybrid,MBA,2017,M110,25333,6
E1051,Vishnu,Finance,Financial Analyst,Male,45,Kochi,14,93162,93,77.2,14,Office,BTech,2019,M109,11795,5
E1052,Kiran,Finance,Financial Analyst,Female,35,Kochi,8,76619,98,78.2,9,Office,BCom,2019,M110,17679,5
E1053,Vishnu,Finance,Accountant,Male,41,Pune,7,81311,75,78.8,7,Hybrid,MBA,2023,M107,27736,10
E1054,Meera,Finance,Finance Executive,Female,22,Hyderabad,2,44450,82,97.9,15,Hybrid,BCom,2016,M108,16309,6
E1055,Rohan,Operations,Process Analyst,Male,33,Hyderabad,8,53390,59,79.7,6,Remote,BSc,2016,M104,6208,7
E1056,Neha,IT,Developer,Female,31,Trivandrum,9,80984,90,83.0,3,Office,BCom,2017,M108,2009,8
E1057,Anjali,HR,HR Executive,Male,25,Kochi,11,82447,71,77.9,15,Hybrid,MBA,2016,M105,14219,7
E1058,Rohan,HR,HR Executive,Female,32,Chennai,13,92871,89,98.2,6,Office,MBA,2024,M105,24797,7
E1059,Vishnu,Operations,Operations Manager,Male,34,Bangalore,2,52972,58,82.9,10,Office,MCA,2023,M108,11510,9
E1060,Kiran,Finance,Accountant,Male,37,Kochi,12,98612,56,88.6,8,Remote,MBA,2021,M106,29202,10
E1061,Kiran,Finance,Accountant,Male,40,Pune,7,76171,93,89.3,13,Hybrid,BTech,2016,M105,19334,4
E1062,Diya,Operations,Operations Executive,Female,26,Mumbai,3,48683,85,84.5,13,Remote,MSc,2023,M105,29804,10
E1063,Sanjay,Marketing,Content Strategist,Female,24,Bangalore,11,74689,97,90.0,4,Remote,BCom,2025,M108,12789,9
E1064,Nikhil,HR,Recruiter,Female,45,Kochi,13,66649,94,96.8,12,Office,MSc,2023,M110,29632,7
E1065,Aparna,HR,HR Executive,Female,31,Trivandrum,8,62300,55,77.8,5,Hybrid,BCom,2019,M106,21414,4
E1066,Sneha,IT,ML Engineer,Male,35,Kochi,14,89438,63,80.1,9,Office,MCA,2024,M103,27150,7
E1067,Anjali,IT,ML Engineer,Female,47,Bangalore,9,89571,81,86.3,11,Remote,BSc,2018,M106,14951,4
E1068,Varun,Marketing,Marketing Executive,Male,31,Pune,5,65367,80,75.3,5,Office,BTech,2019,M109,19072,7
E1069,Sneha,Operations,Operations Executive,Male,21,Mumbai,5,58846,84,93.7,11,Remote,BCom,2016,M108,25570,5
E1070,Reshma,IT,Data Analyst,Female,48,Kochi,13,106156,84,89.0,15,Office,MSc,2022,M107,18002,5
E1071,Reshma,HR,HR Analyst,Male,28,Kochi,2,50224,57,80.8,11,Remote,MSc,2023,M106,21694,8
E1072,Aparna,Finance,Financial Analyst,Male,36,Hyderabad,2,48544,91,78.5,14,Remote,MCA,2022,M110,27350,4
E1073,Reshma,Sales,Business Development Executive,Male,35,Mumbai,2,49687,74,83.4,15,Hybrid,MBA,2022,M107,22875,7
E1074,Adithya,Sales,Business Development Executive,Male,32,Chennai,4,44011,76,94.5,1,Hybrid,BCom,2023,M107,22607,4
E1075,Anjali,HR,HR Executive,Male,27,Kochi,2,35639,76,95.9,4,Hybrid,MCA,2017,M107,10996,6
E1076,Adithya,Operations,Process Analyst,Female,37,Mumbai,1,41150,79,87.4,12,Remote,MSc,2025,M106,20458,4
E1077,Akhil,Operations,Process Analyst,Male,37,Bangalore,10,71730,75,84.6,10,Hybrid,MCA,2021,M101,21250,8
E1078,Varun,Marketing,Content Strategist,Male,28,Chennai,2,43405,88,84.9,8,Hybrid,BCom,2020,M108,23792,5
E1079,Varun,Marketing,SEO Analyst,Male,33,Chennai,14,105518,88,90.6,2,Office,BTech,2024,M108,7136,4
E1080,Akhil,IT,ML Engineer,Male,38,Mumbai,12,93568,98,92.4,14,Hybrid,MCA,2018,M105,29691,6
E1081,Varun,Finance,Finance Executive,Female,50,Chennai,0,49713,62,91.0,1,Remote,MSc,2021,M106,7319,4
E1082,Adithya,HR,HR Executive,Female,35,Bangalore,8,69246,70,98.1,7,Hybrid,MSc,2021,M110,18774,9
E1083,Fathima,Sales,Business Development Executive,Male,43,Mumbai,6,55938,72,93.6,4,Remote,MBA,2017,M110,2614,4
E1084,Rahul,Operations,Operations Executive,Male,28,Bangalore,14,110699,77,76.6,15,Office,BSc,2021,M109,9564,5
E1085,Amal,IT,Data Analyst,Female,43,Chennai,15,98617,96,99.8,11,Remote,MSc,2017,M103,9206,9
E1086,Amal,Marketing,Marketing Executive,Female,44,Hyderabad,12,79920,64,77.3,15,Remote,BSc,2020,M101,22144,6
E1087,Meera,Sales,Business Development Executive,Female,25,Kochi,13,68408,55,97.8,15,Office,BTech,2024,M108,11155,7
E1088,Rohan,Finance,Financial Analyst,Male,44,Trivandrum,9,84212,100,90.0,14,Office,MCA,2024,M107,16899,7
E1089,Sanjay,Finance,Accountant,Female,30,Chennai,7,68907,88,84.6,9,Office,MCA,2018,M108,22229,8
E1090,Rahul,Sales,Business Development Executive,Male,49,Chennai,5,58962,96,87.9,2,Hybrid,BTech,2023,M103,9906,9
E1091,Adithya,Sales,Business Development Executive,Male,22,Chennai,7,62966,95,84.8,11,Office,BTech,2018,M109,25265,7
E1092,Vishnu,HR,HR Analyst,Male,22,Hyderabad,8,68640,69,75.1,11,Office,MCA,2017,M106,10228,7
